id,name,slot,category,rarity,source,price,asset
"headphones","Over-Ear Headphones","headset","Headphones","Rare","token","100","/cosmetics/assets/over-ear-headphones.svg"
"headphones-navy","Navy Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-navy.svg"
"headphones-burgundy","Burgundy Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-burgundy.svg"
"headphones-forest","Forest Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-forest.svg"
"headphones-charcoal","Charcoal Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-charcoal.svg"
"headphones-rose","Rose Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-rose.svg"
"headphones-gold","Gold Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-gold.svg"
"headphones-silver","Silver Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-silver.svg"
"headphones-teal","Teal Over-Ear Headphones","headset","Headphones","Rare","token","105","/cosmetics/assets/over-ear-headphones-teal.svg"
"winter-earmuffs","Winter Earmuffs","headset","Headphones","Uncommon","token","60","/cosmetics/assets/winter-earmuffs.svg"
"winter-earmuffs-navy","Navy Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-navy.svg"
"winter-earmuffs-burgundy","Burgundy Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-burgundy.svg"
"winter-earmuffs-forest","Forest Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-forest.svg"
"winter-earmuffs-charcoal","Charcoal Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-charcoal.svg"
"winter-earmuffs-rose","Rose Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-rose.svg"
"winter-earmuffs-gold","Gold Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-gold.svg"
"winter-earmuffs-silver","Silver Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-silver.svg"
"winter-earmuffs-teal","Teal Winter Earmuffs","headset","Headphones","Uncommon","token","65","/cosmetics/assets/winter-earmuffs-teal.svg"
"red-bandana","Silk Scarf","accessory","Neckwear","Uncommon","token","55","/cosmetics/assets/silk-scarf.png"
"red-bandana-forest","Forest Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-forest.png"
"red-bandana-navy","Navy Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-navy.png"
"red-bandana-burgundy","Burgundy Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-burgundy.png"
"red-bandana-charcoal","Charcoal Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-charcoal.png"
"red-bandana-tan","Tan Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-tan.png"
"red-bandana-rose","Rose Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-rose.png"
"red-bandana-gold","Gold Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-gold.png"
"red-bandana-cream","Cream Silk Scarf","accessory","Neckwear","Uncommon","token","60","/cosmetics/assets/silk-scarf-cream.png"
"leather-bracelet","Braided Leather Necklace","jewelry","Jewelry","Common","token","30","/cosmetics/assets/leather-bracelet.svg"
"leather-bracelet-navy","Navy Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-navy.svg"
"leather-bracelet-burgundy","Burgundy Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-burgundy.svg"
"leather-bracelet-forest","Forest Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-forest.svg"
"leather-bracelet-charcoal","Charcoal Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-charcoal.svg"
"leather-bracelet-tan","Tan Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-tan.svg"
"leather-bracelet-rose","Rose Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-rose.svg"
"leather-bracelet-gold","Gold Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-gold.svg"
"leather-bracelet-cream","Cream Braided Leather Necklace","jewelry","Jewelry","Common","token","35","/cosmetics/assets/leather-bracelet-cream.svg"
"drop-earrings","Drop Earrings","jewelry","Jewelry","Common","token","35","/cosmetics/assets/drop-earrings.png"
"drop-earrings-navy","Navy Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-navy.png"
"drop-earrings-burgundy","Burgundy Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-burgundy.png"
"drop-earrings-forest","Forest Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-forest.png"
"drop-earrings-charcoal","Charcoal Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-charcoal.png"
"drop-earrings-rose","Rose Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-rose.png"
"drop-earrings-gold","Gold Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-gold.png"
"drop-earrings-silver","Silver Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-silver.png"
"drop-earrings-teal","Teal Drop Earrings","jewelry","Jewelry","Uncommon","token","40","/cosmetics/assets/drop-earrings-teal.png"
"gold-chain","Gold Necklace Accent","jewelry","Jewelry","Uncommon","token","45","/cosmetics/assets/gold-necklace.svg"
"flower-pin","Flower Hair Clip","hair","Hair Accessories","Common","token","25","/cosmetics/assets/flower-hair-clip.png"
"flower-pin-navy","Navy Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-navy.png"
"flower-pin-burgundy","Burgundy Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-burgundy.png"
"flower-pin-forest","Forest Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-forest.png"
"flower-pin-charcoal","Charcoal Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-charcoal.png"
"flower-pin-rose","Rose Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-rose.png"
"flower-pin-gold","Gold Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-gold.png"
"flower-pin-silver","Silver Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-silver.png"
"flower-pin-teal","Teal Flower Hair Clip","hair","Hair Accessories","Common","token","30","/cosmetics/assets/flower-hair-clip-teal.png"
"sheriff-badge","Sheriff Badge","badge","Badges","Rare","token","75","/cosmetics/assets/sheriff-badge.png"
"sheriff-badge-navy","Navy Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-navy.png"
"sheriff-badge-burgundy","Burgundy Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-burgundy.png"
"sheriff-badge-forest","Forest Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-forest.png"
"sheriff-badge-charcoal","Charcoal Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-charcoal.png"
"sheriff-badge-rose","Rose Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-rose.png"
"sheriff-badge-gold","Gold Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-gold.png"
"sheriff-badge-silver","Silver Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-silver.png"
"sheriff-badge-teal","Teal Sheriff Badge","badge","Badges","Rare","token","80","/cosmetics/assets/sheriff-badge-teal.png"
"rock-charm","Kelsi's Rock Charm","badge","Badges","Common","token","35","/cosmetics/assets/sheriff-badge-silver.png"
"flannel-shirt","Cabin Flannel Shirt","top","Tops","Uncommon","token","55","/cosmetics/assets/flannel-shirt.png"
"flannel-shirt-forest","Forest Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-forest.png"
"flannel-shirt-navy","Navy Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-navy.png"
"flannel-shirt-burgundy","Burgundy Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-burgundy.png"
"flannel-shirt-charcoal","Charcoal Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-charcoal.png"
"flannel-shirt-tan","Tan Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-tan.png"
"flannel-shirt-rose","Rose Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-rose.png"
"flannel-shirt-gold","Gold Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-gold.png"
"flannel-shirt-cream","Cream Cabin Flannel Shirt","top","Tops","Uncommon","token","60","/cosmetics/assets/flannel-shirt-cream.png"
"cabin-hoodie","Cabin Life Hoodie","top","Tops","Uncommon","token","60","/cosmetics/assets/cabin-hoodie.png"
"cabin-hoodie-forest","Forest Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-forest.png"
"cabin-hoodie-navy","Navy Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-navy.png"
"cabin-hoodie-burgundy","Burgundy Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-burgundy.png"
"cabin-hoodie-charcoal","Charcoal Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-charcoal.png"
"cabin-hoodie-tan","Tan Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-tan.png"
"cabin-hoodie-rose","Rose Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-rose.png"
"cabin-hoodie-gold","Gold Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-gold.png"
"cabin-hoodie-cream","Cream Cabin Life Hoodie","top","Tops","Uncommon","token","65","/cosmetics/assets/cabin-hoodie-cream.png"
"trail-trouble-cap","Trail Trouble Champion Cap","hat","Arcade Wins","Uncommon","arcade","30","/cosmetics/assets/baseball-cap-tan.png"
"prop-hunt-hunter-hat","Prop Hunt Hunter Hat","hat","Arcade Wins","Uncommon","arcade","80","/cosmetics/assets/cowboy-hat-charcoal.png"
"mexican-train-cap","Mexican Train Conductor Cap","hat","Arcade Wins","Uncommon","arcade","75","/cosmetics/assets/baseball-cap-charcoal.png"
"blackgammon-winner-cap","Blackgammon Winner Cap","hat","Achievement","Rare","achievement","85","/cosmetics/assets/baseball-cap-navy.png"
"birthday-guy-crown","Birthday Guy Crown","hat","Birthday","Epic","event","0","/cosmetics/assets/birthday-crown-gold.png"
"birthday-girl-tiara","Birthday Star Tiara","hat","Birthday","Epic","event","0","/cosmetics/assets/tiara-rose.png"
"christmas-earmuffs","Christmas Cabin Earmuffs","headset","Seasonal","Epic","event","0","/cosmetics/assets/winter-earmuffs-burgundy.png"
"winter-cabin-scarf","Winter Cabin Scarf","accessory","Seasonal","Epic","event","0","/cosmetics/assets/silk-scarf-forest.png"
"family-night-badge","Family Game Night Badge","badge","Badges","Uncommon","token","90","/cosmetics/assets/sheriff-badge-gold.png"
"host-badge","Family Host Badge","badge","Achievement","Rare","achievement","0","/cosmetics/assets/sheriff-badge-gold.png"
"prairie-pots-bandana","Prairie Pots Bandana","accessory","Arcade Wins","Uncommon","arcade","65","/cosmetics/assets/silk-scarf-tan.png"
"deck-sweep-glasses","Deck Sweep Lucky Glasses","glasses","Arcade Wins","Uncommon","arcade","55","/cosmetics/assets/classic-glasses-gold.svg"
